Headline,Ground_Truth,Zero-shot_Prediction
reason man turning to religion later in life must be horrifying,Sarcastic,Sarcastic
congress just gave up its chance to slightly roll back the drug war,Non-Sarcastic,Non-Sarcastic
the 'g word' project maps hundreds of gender stories,Non-Sarcastic,Non-Sarcastic
routine drunk-driving trip turns tragic for five local teens,Sarcastic,Non-Sarcastic
zenefits once told employees: no sex in stairwells,Non-Sarcastic,Non-Sarcastic
bitcoin bowl and the disruption of fiat currency,Non-Sarcastic,Non-Sarcastic
livid jimmy kimmel turns up the heat on sen. bill cassidy for second night,Non-Sarcastic,Non-Sarcastic
trump administration axes funding for nasa system that monitors greenhouse gases,Non-Sarcastic,Non-Sarcastic
"former new york post reporter on trump: he played 2 sports, 'golf and lying'",Non-Sarcastic,Non-Sarcastic
college student wants people to eat chik-fil-a and ketchup off her body,Non-Sarcastic,Sarcastic
experimental band theoretically good,Sarcastic,Sarcastic
barber just latest in string of humans to feign interest in what area man says,Sarcastic,Sarcastic
that chinese girl in office: 'i am not chinese',Sarcastic,Sarcastic
harvey has broken records on tornado warnings every day so far,Non-Sarcastic,Non-Sarcastic
anti-abortion women's marchers head back to washington,Non-Sarcastic,Non-Sarcastic
ann coulter calls 'grotesque' donald trump a disappointment,Non-Sarcastic,Non-Sarcastic
los angeles now 70 percent overpasses,Sarcastic,Sarcastic
is this the end of the trump reality show?,Non-Sarcastic,Non-Sarcastic
dolby theatre usher throws out matt damon for attempting to film oscars with camcorder,Sarcastic,Sarcastic
maya angelou thought she'd be invited to more white house stuff,Sarcastic,Sarcastic
local child has run-of-the-mill imagination,Sarcastic,Sarcastic
report: now sadly the best time in american history to be black,Sarcastic,Sarcastic
woman on gym treadmill cranks incline up to 90 degrees,Sarcastic,Sarcastic
miss nude america loses title after appearing clothed in woman's day,Sarcastic,Sarcastic
bush orders iraq to disarm before start of war,Sarcastic,Sarcastic
jordan klepper destroys gop bill that sells 'good guy with a gun' myth,Non-Sarcastic,Non-Sarcastic
new rumsfeld scholarship awarded to student who demonstrates potential to ignore geopolitical consequences of armed invasion,Sarcastic,Sarcastic
director of census bureau calls for updated population report after realizing he forgot to count himself,Sarcastic,Sarcastic
huffpollster: is bernie sanders really leading in new hampshire?,Non-Sarcastic,Non-Sarcastic
ted cruz hits the panic button: 'we could lose both houses of congress',Non-Sarcastic,Non-Sarcastic
cardi b doesn't owe you anything,Non-Sarcastic,Non-Sarcastic
new numeric boggle challenges players to find integers,Sarcastic,Sarcastic
colleges pressured by feds to avoid asking about criminal records on applications,Non-Sarcastic,Non-Sarcastic
area mother doesn't see why thai people need to make food so spicy,Sarcastic,Sarcastic
britney rocks short shorts and high heels for a day at disneyland,Non-Sarcastic,Non-Sarcastic
"clinton to get teeth cleaning, glasses before coverage runs out",Sarcastic,Sarcastic
'the president show' sends 'trump' to boot camp with transgender soldiers,Non-Sarcastic,Non-Sarcastic
shocked dzhokar tsarnaev always thought classmates were really great judges of character,Sarcastic,Sarcastic
trump's iran decision leaves only 2 likely outcomes,Non-Sarcastic,Non-Sarcastic
heat wave doesn't bother local contrarian,Sarcastic,Sarcastic
"pitt, aniston to quietly separate",Sarcastic,Non-Sarcastic
poll workers overhear biden repeating phrase 'banged her' while reading names on ballot,Sarcastic,Sarcastic
nfl player's tweets about gruesome injury remind us that life is 'cruel sometimes',Non-Sarcastic,Non-Sarcastic
salma hayek rips donald trump: 'he has never done anything for america',Non-Sarcastic,Non-Sarcastic
recurring zhang ziyi fantasy always involves getting kicked in the face,Sarcastic,Sarcastic
man surprised to hear himself tell matt damon he's a 'big fan',Sarcastic,Sarcastic
papal infallibility invoked to allow scrabble word,Sarcastic,Sarcastic
governor demands to know which star on american flag is iowa's,Sarcastic,Sarcastic
"olympic thrills, and a few chills, on a summer puget sound adventure",Non-Sarcastic,Non-Sarcastic
man wishes live nation would email him whenever any band playing anywhere,Sarcastic,Sarcastic
a review: 'one teen story',Non-Sarcastic,Non-Sarcastic
republicans vow not to repeal obamacare without detailed plan for disposing of patients' disease-ridden corpses,Sarcastic,Sarcastic
"isis and boko haram are teaming up for terror, official says",Non-Sarcastic,Non-Sarcastic
watch this paddleboarder get straight-up wrecked by a dolphin,Non-Sarcastic,Non-Sarcastic
"parents, baby, godmother all uncomfortable with arrangement",Sarcastic,Sarcastic
dick van dyke surprises denny's patrons with impromptu performance of 'chitty chitty bang bang',Non-Sarcastic,Non-Sarcastic
trump blows up statue of liberty,Non-Sarcastic,Sarcastic
donut-shaped thing in kitchen junk drawer has no discernible purpose whatsoever,Sarcastic,Sarcastic
these stunning overhead beach photos are enough last you to next summer,Non-Sarcastic,Non-Sarcastic
whitney houston lifetime movie casts its lead,Non-Sarcastic,Non-Sarcastic
paul simon might be done with music,Non-Sarcastic,Non-Sarcastic
"charlize theron once invited president obama to a strip club, as one does",Non-Sarcastic,Non-Sarcastic
intuition or ego? 3 simple steps to reach truth,Non-Sarcastic,Non-Sarcastic
police department threatens criminals with 'stranger things' spoilers,Non-Sarcastic,Sarcastic
possum gazes longingly at family walking dog,Sarcastic,Sarcastic
only positive statistic of year announced,Sarcastic,Sarcastic
"film about little guy battling huge, morally bankrupt organization made by huge, morally bankrupt organization",Sarcastic,Sarcastic
kanye west: 'i would've ridden away from a slave plantation on a motorcycle first chance i got',Sarcastic,Sarcastic
ostensibly heterosexual man constantly threatening to put objects up coworkers' asses,Sarcastic,Sarcastic
14 things 'parks & recreation' taught us about food,Non-Sarcastic,Non-Sarcastic
otherwise reasonable man sincerely believes u.s. landed on moon,Sarcastic,Sarcastic
clairvoyant vince vaughn accepts movie role before it's offered,Sarcastic,Sarcastic
tire salesman to hit them with a little razzle-dazzle,Sarcastic,Sarcastic
another mass shooting and more prayers. america has officially given up.,Non-Sarcastic,Sarcastic
all proceeds no longer going to charity,Sarcastic,Sarcastic
cartoon donald trump assures colbert his numbers are the biggest,Non-Sarcastic,Sarcastic
depleted hawaiian volcano now just coughing up bile,Sarcastic,Sarcastic
facebook is now bigger than the largest country on earth,Non-Sarcastic,Non-Sarcastic
library of congress completes destruction of 70 million works deemed culturally insignificant,Sarcastic,Sarcastic
cvs is reportedly in talks to acquire aetna,Non-Sarcastic,Non-Sarcastic
date line,Sarcastic,Sarcastic
nobody wins when the final score is 161-2,Non-Sarcastic,Sarcastic
nation's older brothers recommend not being such a little bitch,Sarcastic,Sarcastic
tae kwon do instructor gets little thrill out of pairing off completely mismatched 8-year-olds,Sarcastic,Sarcastic
san francisco begins providing attorneys for immigrants who can't afford them,Non-Sarcastic,Non-Sarcastic
study: 84% of couples who walk around exploring new neighborhood never make it home,Sarcastic,Sarcastic
u.s. and britain call for immediate ceasefire in yemen,Non-Sarcastic,Non-Sarcastic
huckabee campaign suspended after candidate trapped in briar patch,Sarcastic,Sarcastic
vice president of making your job harder given raise,Sarcastic,Sarcastic
rod stewart thought it was a good idea to stage a mock beheading in abu dhabi desert,Non-Sarcastic,Non-Sarcastic
new employee finally around long enough to be deemed incompetent,Sarcastic,Sarcastic
7-year-old transfers friend's obituary onto silly putty for posterity,Sarcastic,Sarcastic
donald trump set to issue executive orders targeting trade deficit,Non-Sarcastic,Non-Sarcastic
second-grader expelled from sex farm,Sarcastic,Sarcastic
what olympic swimmer ryan lochte eats for breakfast will shock you,Non-Sarcastic,Sarcastic
"teen zebra doesn't give a shit how much you honk, he's not getting out of road",Sarcastic,Sarcastic
epa urges nation to develop new air source,Sarcastic,Sarcastic
myth of white supremacy is now out in the open,Non-Sarcastic,Non-Sarcastic
this tv meteorologist has absolutely had it with the flat-earth movement,Non-Sarcastic,Non-Sarcastic
"dr. king died fighting for economic justice. nearly half a century later, we continue his fight.",Non-Sarcastic,Non-Sarcastic
3m introduces new line of protective foam eye plugs,Sarcastic,Sarcastic
man given 3 months to live throws in one or two non-sexual things to do,Sarcastic,Sarcastic
cops write super-friendly letter to wanted woman,Non-Sarcastic,Sarcastic
let them eat cake!,Non-Sarcastic,Sarcastic
why i know turning 60 will be one big party,Non-Sarcastic,Non-Sarcastic
department-store santa told to push chinaware,Sarcastic,Sarcastic
jumbled nest of cords makes move to third new apartment,Sarcastic,Sarcastic
10 things to keep in mind when telling your kids about the divorce,Non-Sarcastic,Non-Sarcastic
palestinian shot dead after stabbing israeli trooper,Non-Sarcastic,Non-Sarcastic
south dakota asked to water north dakota's crops over the weekend,Sarcastic,Sarcastic
court takes custody of harley from unfit motorcycle mama,Sarcastic,Sarcastic
roommate cooked enough of gross thing for everyone,Sarcastic,Sarcastic
eddie murphy receives mark twain prize at kennedy center,Non-Sarcastic,Non-Sarcastic
how my non-verbal autistic son communicates using just google street view,Non-Sarcastic,Non-Sarcastic
superintendent allegedly calls female dress code violators 'skanks',Non-Sarcastic,Non-Sarcastic
'queer eye' star bobby berk gave me a desk makeover -- and it was incredible,Non-Sarcastic,Non-Sarcastic
bus rider clutching head in pain completely ignored,Sarcastic,Sarcastic
uncool zookeeper won't let anyone ride gorillas,Sarcastic,Sarcastic
coworker hastily leaves break room to avoid 'here comes the boom' spoilers,Sarcastic,Sarcastic
buzzfeed editors unsure how to spin petraeus story into reason the '90s were great,Sarcastic,Sarcastic
"there's no need to fear other people's 'bad energy,' says psychic",Non-Sarcastic,Non-Sarcastic
the white house won't say whether donald trump played golf. here's why.,Non-Sarcastic,Non-Sarcastic
trump is delivering the politicized judiciary republicans dreamed about,Non-Sarcastic,Non-Sarcastic
michael jackson hires magical anthropomorphic giraffe as defense lawyer,Sarcastic,Sarcastic
ronnie wood says he worried it was 'time to say goodbye' after cancer diagnosis,Non-Sarcastic,Non-Sarcastic
kendrick lamar wins pulitzer prize in music for 'damn',Non-Sarcastic,Non-Sarcastic
civilization collapses,Sarcastic,Sarcastic
"obama blasted by cool, refreshing air",Sarcastic,Sarcastic
child 'very sorry' for slapping teddy bear,Sarcastic,Sarcastic
pope francis to issue edict on climate change,Non-Sarcastic,Non-Sarcastic
dick morris: border crisis could 'wipe out' democrats,Non-Sarcastic,Non-Sarcastic
mad lib filled with swears,Sarcastic,Sarcastic
how real estate players are bracing for the l train shutdown,Non-Sarcastic,Non-Sarcastic
"as socialism destroys venezuela, only its people, not u.s. military, can restore democracy",Non-Sarcastic,Non-Sarcastic
bluetooth headset worn throughout date,Sarcastic,Sarcastic
trump and china risk sparking dangerous middle east arms race,Non-Sarcastic,Non-Sarcastic
see how well you know the news with huffpost's headline quiz on google home,Non-Sarcastic,Non-Sarcastic
jeff sessions reportedly revives probe of uranium one deal,Non-Sarcastic,Non-Sarcastic
u.s. postal service appoints first leather-clad postmistress general,Sarcastic,Sarcastic
"meet the other baldwin brother, james!",Sarcastic,Sarcastic
nation hoping 'the newsroom' ends before trayvon martin storyline,Sarcastic,Sarcastic
julia louis-dreyfus reveals breast cancer diagnosis,Non-Sarcastic,Non-Sarcastic
'life continues': baghdad residents remain resilient amid bombings,Non-Sarcastic,Non-Sarcastic
area man participates in 21st-century cashless economy,Sarcastic,Sarcastic
here's a preview of what obama will say in the state of the union,Non-Sarcastic,Non-Sarcastic
new study confirms sharks just really angry dolphins,Sarcastic,Sarcastic
alumni furious over high school's constant improvements,Sarcastic,Sarcastic
challenging richard dawkins,Non-Sarcastic,Non-Sarcastic
undecided debate viewer waiting until he hears same responses for seventh time before making decision,Sarcastic,Sarcastic
the spirit that drove us to civil war is back,Non-Sarcastic,Non-Sarcastic
trump staffer grateful to work with so many people he could turn over to fbi in exchange for immunity,Sarcastic,Sarcastic
struggling airline helped by friendly giant,Sarcastic,Sarcastic
area man proud he can still fit into car from high school,Sarcastic,Sarcastic
arizona iced tea unveils new 4-foot-tall cans,Sarcastic,Sarcastic
cuban army honors fidel castro with 21-gun firing squad,Sarcastic,Sarcastic
john oliver: 'f**king idiot' trump managed to screw up disavowing nazis,Non-Sarcastic,Non-Sarcastic
area woman has more than 200 products to help calm her,Sarcastic,Sarcastic
government squandering social security funds on cake,Sarcastic,Sarcastic
subscribing to success,Non-Sarcastic,Non-Sarcastic
"running from obama, mary landrieu embraces hillary clinton",Non-Sarcastic,Non-Sarcastic
20 suede pieces you'll want to wear all spring,Non-Sarcastic,Non-Sarcastic
third knocked-over glass of water makes man want to give up,Sarcastic,Sarcastic
new study finds no long-term health benefits,Sarcastic,Non-Sarcastic
"mom getting pretty into new tyler, the creator album",Sarcastic,Sarcastic
'extinction labels' tell you how your food choices affect wildlife,Non-Sarcastic,Non-Sarcastic
compliment of pants sounds suspiciously like intent to steal them,Sarcastic,Sarcastic
romney: 'we should never apologize for american values or japanese internment camps',Sarcastic,Non-Sarcastic
"the 'rain room' is coming to los angeles, not to be confused with actual rain",Non-Sarcastic,Non-Sarcastic
drinking beer could help save this adorable red panda,Non-Sarcastic,Non-Sarcastic
elizabeth warren introduces bill to resolve trump's conflicts of interest,Non-Sarcastic,Non-Sarcastic
area man still talking about crazy productive afternoon 4 months ago,Sarcastic,Sarcastic
aerobics show used for almost completely non-aerobic purpose,Sarcastic,Sarcastic
mar-a-lago assistant manager wondering if anyone coming to collect nuclear briefcase from lost and found,Sarcastic,Sarcastic
the vietnam war is not history for victims of agent orange,Non-Sarcastic,Non-Sarcastic
ex-con back behind bar,Sarcastic,Sarcastic
first latino arab-american running for congress views his heritage as an asset,Non-Sarcastic,Non-Sarcastic
mister rogers' neighborhood gerrymandered to serve king friday's make-believe agenda,Sarcastic,Sarcastic
being moody helps us adapt to change,Non-Sarcastic,Non-Sarcastic
donald trump didn't actually roll back any legal protections for transgender kids,Non-Sarcastic,Non-Sarcastic
first chapter in history of sino-american war of 2011 already written,Sarcastic,Sarcastic
national security commission warns clinton: 'the call is coming from inside the house',Sarcastic,Sarcastic
the sad mother's ring,Non-Sarcastic,Non-Sarcastic
"these nikes are nuts, in a good way",Non-Sarcastic,Non-Sarcastic
taylor swift apparently now dating 'garfield' creator jim davis,Sarcastic,Sarcastic
5 tips to avoid summer weight gain in kids,Non-Sarcastic,Non-Sarcastic
museum of television and radio acquires rare 'caroline in the city' episode,Sarcastic,Sarcastic
yorkshire terrier monogrammed,Sarcastic,Sarcastic
man avoids messing with texas,Sarcastic,Sarcastic
22 animals wearing pajamas just because,Non-Sarcastic,Non-Sarcastic
who else besides joe biden might crash the debate?,Non-Sarcastic,Non-Sarcastic
the story behind leonardo dicaprio and lady gaga's viral golden globes moment,Non-Sarcastic,Non-Sarcastic
let's change the conversation from climate change to 'shared benefits',Non-Sarcastic,Non-Sarcastic
adorable bear cubs hitch a ride on mom's back across an alaska lake,Non-Sarcastic,Non-Sarcastic
mel gibson - his performance in 'payback' still not getting enough credit,Sarcastic,Sarcastic
an engineering student working to improve his community,Non-Sarcastic,Non-Sarcastic
vilsack stays up all night with sick corn plant,Sarcastic,Sarcastic
obama: 'arnold palmer had swagger before we had a name for it',Non-Sarcastic,Non-Sarcastic
family dog ignored for 11th straight year,Sarcastic,Sarcastic
this teenager's gory special effects videos are bloody impressive,Non-Sarcastic,Non-Sarcastic
how do i teach my girls to love their bodies when i hate mine?,Non-Sarcastic,Non-Sarcastic
diners slightly unnerved that waitress didn't write down order,Sarcastic,Sarcastic
trevor noah: michael flynn too 'stupid' to be national security adviser,Non-Sarcastic,Non-Sarcastic
214 executed in wacky bolivian prison mix-up,Sarcastic,Sarcastic
heat rises for fbi director james comey as both campaigns demand email answers,Non-Sarcastic,Non-Sarcastic
five stupendous lies told by buglers for military intervention in syria,Non-Sarcastic,Sarcastic
nation wishes it could just once be reminded of preciousness of life without mass shooting,Sarcastic,Sarcastic
passenger ruins perfectly good windshield by flying through it,Sarcastic,Sarcastic
broncos center apologizes to team after accidentally snapping ball to brady quinn,Sarcastic,Sarcastic
new york city makes overdose reversal drug available without a prescription,Non-Sarcastic,Non-Sarcastic
two years after sandy: addressing the emotional needs of survivors,Non-Sarcastic,Non-Sarcastic
protesters ejected from donald trump rally after holding up pocket constitutions,Non-Sarcastic,Non-Sarcastic
bernadette peters comes up twice in one day,Sarcastic,Sarcastic
apple unveils much-anticipated iphone 4se,Sarcastic,Non-Sarcastic
report: spider,Sarcastic,Sarcastic
mark zuckerberg continues to insist facebook could not possibly have influenced election,Non-Sarcastic,Non-Sarcastic
who needs 10 fps when you can have 1 frame every 10 minutes? 5 min portrait 1850's edition,Non-Sarcastic,Sarcastic
florida police warn public against taking law into own hands unless it's that law specifically designed for you to do that,Sarcastic,Sarcastic
artists as global citizens,Non-Sarcastic,Non-Sarcastic
australia's deputy prime minister resigns amid mounting scandals,Non-Sarcastic,Non-Sarcastic
"this man used netflix to propose, and now we're ugly crying at our desk",Non-Sarcastic,Non-Sarcastic
local man almost finished collecting fantasy football winnings from 2005,Sarcastic,Sarcastic
people really like kanye's new song 'real friends' because it's really g.o.o.d.,Non-Sarcastic,Non-Sarcastic
netflix instant thinking about adding good movie,Sarcastic,Sarcastic
woman worried student loans could prevent her from one day owning entirely different kind of crippling debt,Sarcastic,Sarcastic
the bendy smartphone of the future is (almost) here,Non-Sarcastic,Non-Sarcastic
new evidence reveals ancient greeks immediately regretted inventing theater,Sarcastic,Sarcastic
"george r.r. martin announces next book to feature pixies, dracula",Sarcastic,Sarcastic
lights go on: part li -- a single word,Non-Sarcastic,Non-Sarcastic
bin laden returns to sea,Sarcastic,Sarcastic
trump's tailspin,Non-Sarcastic,Non-Sarcastic
new viacom ad tells employees to get back to work,Sarcastic,Sarcastic
senate amendment would dramatically improve how doctors treat heroin addiction,Non-Sarcastic,Non-Sarcastic
"chuck grassley introduces donald trump at rally, but does not endorse",Non-Sarcastic,Non-Sarcastic
hackers could tap into 'smart' baby monitors with ease: researchers,Non-Sarcastic,Non-Sarcastic
the box office saw its worst weekend in years,Non-Sarcastic,Non-Sarcastic
clinton goes on fun plane ride,Sarcastic,Sarcastic
poll finds majority of americans have never met willem dafoe,Sarcastic,Sarcastic
"this swimsuit model stuns from the neck up, for a refreshing change",Non-Sarcastic,Sarcastic
cigarette tax hike to pay for iraq war,Sarcastic,Sarcastic
terrified fda warns something making bananas black after several days,Sarcastic,Sarcastic
stoner-turned-doctor sees dark side of pot,Non-Sarcastic,Non-Sarcastic
guy just trying on shirt right in middle of store,Sarcastic,Sarcastic
how to get researchers to notice an ultra-rare disease,Non-Sarcastic,Non-Sarcastic
more charges on the way in connection with baruch college hazing death,Non-Sarcastic,Non-Sarcastic
'kennedy curse' claims life of 77-year-old tumor-riddled binge-drinker,Sarcastic,Sarcastic
prospective student had most fun getting drunk at arizona state,Sarcastic,Sarcastic
new photo shows medusa nebula is way prettier than its namesake,Non-Sarcastic,Non-Sarcastic
report: murderer who escaped in 1996 remains most successful case of prisoner reintegration,Sarcastic,Sarcastic
filmmaker brett ratner wants to make history with charlottesville unity concert,Non-Sarcastic,Non-Sarcastic
"satyajit ray's apu trilogy premieres at moma, again",Non-Sarcastic,Non-Sarcastic
hbo film reveals liberace was good friends with gay men,Sarcastic,Sarcastic
rick santorum asks u.s. populace if he's still running for president,Sarcastic,Sarcastic
report: girlfriend probably reading some book called 'the midwife's promise',Sarcastic,Sarcastic
james corden and stephen curry are a fierce 'carpool karaoke' team,Non-Sarcastic,Non-Sarcastic
chris christie's strange justice,Non-Sarcastic,Non-Sarcastic
obama's next chapter: write a new book,Non-Sarcastic,Non-Sarcastic
meredith vieira's today show debut marked by uncomfortable hour-long silence,Sarcastic,Sarcastic
local history museum really digging deep to fill 2 15-by-20-foot rooms,Sarcastic,Sarcastic
depressed wolf blitzer locks self in situation room,Sarcastic,Sarcastic
verizon and unions reach 'tentative agreement' to end strike,Non-Sarcastic,Non-Sarcastic
obama's declaration of swine flu emergency prompts pro-swine-flu republican response,Sarcastic,Sarcastic
cheney wows sept. 11 commission by drinking glass of water while bush speaks,Sarcastic,Sarcastic
popular designer dog breed just twisted spinal cord attached to collapsed lung,Sarcastic,Sarcastic
"for his new act, beloved drag queen john 'lypsinka' epperson is a man unmasked",Non-Sarcastic,Non-Sarcastic
you might be using these popular words all wrong,Non-Sarcastic,Non-Sarcastic
what's leaving netflix in may 2016?,Non-Sarcastic,Non-Sarcastic
navy frogmen recover clinton's head,Sarcastic,Sarcastic
sia's christmas album title contains an awkward grammatical error,Non-Sarcastic,Non-Sarcastic
mit physicists split the smithereen,Sarcastic,Sarcastic
'today' anchors wear 'charlie brown' costumes for halloween,Non-Sarcastic,Non-Sarcastic
man on weird fad diet where he eats flavorful meals that make him feel good,Sarcastic,Sarcastic
"no, bruce jenner is not having a 'midlife crisis'",Non-Sarcastic,Non-Sarcastic
syrian rebels to exit aleppo as truce begins,Non-Sarcastic,Non-Sarcastic
the importance of a pap and hpv test combination,Non-Sarcastic,Non-Sarcastic
kasich trying to find other states where he is beloved multi-term governor,Sarcastic,Sarcastic
102 lgbt people were maimed or killed -- and i still can't donate blood,Non-Sarcastic,Non-Sarcastic
issa rae's unapologetic support of black stars at the emmys is a mood,Non-Sarcastic,Non-Sarcastic
what winning really means,Non-Sarcastic,Non-Sarcastic
thousands of people who failed background checks in 2016 bought guns anyway,Non-Sarcastic,Non-Sarcastic
trump voter fraud commissioner says panel should be more transparent or disband,Non-Sarcastic,Non-Sarcastic
new musical shines light on 'paris is burning' star and the mummified man found in her closet,Non-Sarcastic,Non-Sarcastic
charlottesville may put the brakes on campus free speech laws,Non-Sarcastic,Non-Sarcastic
this doll aims to empower kids with albinism and dispel harmful myths,Non-Sarcastic,Non-Sarcastic
fourth death in new york legionnaire's disease outbreak,Non-Sarcastic,Non-Sarcastic
archaeologists unearth ivory trumpet dating back to prehistoric jazz age,Sarcastic,Sarcastic
the last broadcast,Non-Sarcastic,Non-Sarcastic
even small changes in global temperatures can have disastrous consequences for birds,Non-Sarcastic,Non-Sarcastic
empty wall behind couch falls into girlfriend's crosshairs,Sarcastic,Sarcastic
does your writing reveal secrets about your leadership?,Non-Sarcastic,Non-Sarcastic
trump-friendly breitbart news rolls over after reporter 'grabbed' by trump aide,Non-Sarcastic,Non-Sarcastic
supercuts ceo apologizes for number of customers scalped every month,Sarcastic,Sarcastic
unstable man plots to bring guns to schools,Sarcastic,Non-Sarcastic
media stumped on how to handle missing mixed-race woman,Sarcastic,Non-Sarcastic
almost half of the victims in the turkey bombing were under the age of 14,Non-Sarcastic,Non-Sarcastic
these astronauts hugged it out in response to reporter's question about political tension,Non-Sarcastic,Non-Sarcastic
report: half of all americans probably should have thought of that before they opened their mouth,Sarcastic,Sarcastic
mandatory unisex golden globes uniforms keep focus on stars' work,Sarcastic,Sarcastic
5 first-world problems that annoy people anyway,Non-Sarcastic,Non-Sarcastic
what cutting americorps would mean for public lands,Non-Sarcastic,Non-Sarcastic
ethics group blasts pence for using government travel for colts stunt,Non-Sarcastic,Non-Sarcastic
this woman celebrated her 77th birthday in the fiercest way possible,Non-Sarcastic,Non-Sarcastic
ayesha curry lands cooking show on the food network,Non-Sarcastic,Non-Sarcastic
report: majority of statements now prefaced by phrase 'in light of recent events',Sarcastic,Sarcastic
person who clearly hasn't seen 'the fifth element' arguing there no good roles for women,Sarcastic,Sarcastic
heroes for homeless kids celebrate in aurora,Non-Sarcastic,Non-Sarcastic
jeb bush warns rnc attendees of bad cialis going around parking lot,Sarcastic,Sarcastic
twitter users blast donald trump for using hurricane harvey 'as political cover',Non-Sarcastic,Non-Sarcastic
irs now requiring taxpayers to tip,Sarcastic,Sarcastic
"god almost forgot to kill dave elfman of boulder, co today",Sarcastic,Sarcastic
magnanimous banker hires occupy wall street protesters,Sarcastic,Sarcastic
depressed nation really did not think it would take them this long to get over death of jack klugman,Sarcastic,Sarcastic
"area father remembers when he thought killing family, self was crazy",Sarcastic,Sarcastic
how the opioid crisis is blowing a hole in small-town america's finances,Non-Sarcastic,Non-Sarcastic
'you thought you could get rid of me?' says cassini probe emerging from shadows to confront petrified nasa administrator,Sarcastic,Sarcastic
this law lets abused animals get their own advocates in court,Non-Sarcastic,Non-Sarcastic
local pet store sells living things to just anyone off the street,Sarcastic,Sarcastic
why i don't want to have it all,Non-Sarcastic,Non-Sarcastic
asian guy has separate group of just asian friends,Sarcastic,Sarcastic
man pleased to find most of his mid-'90s anti-hillary rant still usable,Sarcastic,Sarcastic
democrats want to make sure trump sees the faces of those hurt by his travel ban,Non-Sarcastic,Non-Sarcastic
emily's list founder: women are the 'problem solvers' in congress,Non-Sarcastic,Non-Sarcastic
google's got plans for 'smart' contact lenses,Non-Sarcastic,Non-Sarcastic
$14.5 billion pledged to rebuild battleground states,Sarcastic,Non-Sarcastic
fda deems genetically modified salmon too handsome to eat,Sarcastic,Sarcastic
l.a. school district reaches $88-million settlement in sex misconduct cases at two campuses,Non-Sarcastic,Non-Sarcastic
"news roundup for july 10, 2017",Non-Sarcastic,Non-Sarcastic
trump's lawyer got restraining order against stormy daniels to keep her quiet,Non-Sarcastic,Non-Sarcastic
mom holds knife to throat of dinner guest who offered to help with dishes,Sarcastic,Sarcastic
area man absolutely determined to use wheelbarrow this weekend,Sarcastic,Sarcastic
i cannot do this alone: why allies matter to the down syndrome community,Non-Sarcastic,Non-Sarcastic
"amtrak train derails in vermont, seven taken to hospital",Non-Sarcastic,Non-Sarcastic
'expect delays' signs placed randomly throughout nation,Sarcastic,Sarcastic
8-year-old girl dies after drinking boiling water on dare,Non-Sarcastic,Non-Sarcastic
arkansas plans to execute 2 convicted killers on monday,Non-Sarcastic,Non-Sarcastic
trump's new travel ban could hinder research on hiv and mental health,Non-Sarcastic,Non-Sarcastic
what to do about slums,Non-Sarcastic,Non-Sarcastic
"wrecking to 'revitalise': são paulo expels drug users and razes buildings, claiming public safety",Non-Sarcastic,Non-Sarcastic
that show about the lady sheriff finally released on dvd,Sarcastic,Sarcastic
bobby jindal lies to parents about winning gop nomination,Sarcastic,Sarcastic
u.n. warns trump may be 7 months away from acquiring nuclear weapons,Sarcastic,Sarcastic
"just a heads up, your eyelashes are probably crawling with mites",Non-Sarcastic,Non-Sarcastic
lottery loser angry at lottery winner,Sarcastic,Sarcastic
body found may be of missing 3-year-old left outside by dad: police,Non-Sarcastic,Non-Sarcastic
kam chancellor got the cops called on him for looking at a gym,Non-Sarcastic,Non-Sarcastic
new study confirms humans only use 10% of genitalia,Sarcastic,Sarcastic
moderator reminds vice presidential debate audience to remain silent when exiting early,Sarcastic,Sarcastic
nude model suspects she's posing for civics class,Sarcastic,Sarcastic
grin slowly spreads across mom's face as meal revealed to contain healthy ingredients,Sarcastic,Sarcastic
how marvel beat dc at the movies,Non-Sarcastic,Non-Sarcastic
"commas, turning up, everywhere",Sarcastic,Sarcastic
trump fundraising still not in high gear,Non-Sarcastic,Non-Sarcastic
the seductive illusion of power,Non-Sarcastic,Non-Sarcastic
name on valentine misspelled,Sarcastic,Sarcastic
"offshorers demand: no taxes, no risk",Non-Sarcastic,Sarcastic
sean hannity: donald trump should deny press credentials to major news outlets,Non-Sarcastic,Non-Sarcastic
giant blood clot dislodges from your femoral artery,Sarcastic,Sarcastic
'glee' finale flashes forward to show dreams come true,Non-Sarcastic,Non-Sarcastic
u.s. ambassador to un travels to ebola-stricken west africa,Non-Sarcastic,Non-Sarcastic
a nobel prize for sustainable fashion,Non-Sarcastic,Non-Sarcastic
lindsay lohan's rehab stint off to great start—and she's gone,Sarcastic,Sarcastic
pizza hut employee still hanging around after shift,Sarcastic,Sarcastic
man in bar makes general inquiry about the ladies,Sarcastic,Sarcastic
donald trump jr. just shared the weirdest picture of his dad,Non-Sarcastic,Non-Sarcastic
seth meyers rips jeff sessions for halting his donald trump party,Non-Sarcastic,Non-Sarcastic
guy eats own weight in combos over three-month period,Sarcastic,Sarcastic
teachers and politicians mount final push to keep betsy devos away from public schools,Non-Sarcastic,Non-Sarcastic
want to get shot out of a cannon? call bello the clown,Non-Sarcastic,Sarcastic
rookie nascar driver gets lost,Sarcastic,Sarcastic
