"id","statement_full","statement_strip","statement_noise_p25","statement_noise_p50","statement_noise_p75","target","source","text_origin"
"115","Ìná tún sọ ní Ibadan, ọ̀pọ̀ dúkìá tún báa lọ","Ina tun so ni Ibadan, opo dukia tun baa lo","Iná tún sọ ni Ibadan, ọ̀pọ̀ dúkìa tun báa lọ","Ìná tun so ní Ibadan, opọ dúkia tun báa lo","Ìna tun so ní Ibadan, opo dukia tun baa lo","non-sarcastic","BBC News","original"
"116","A ṣe àṣìṣe fífi ẹ̀sùn jìbìtì kan NELFUND- ICPC","A se asise fifi esun jibiti kan NELFUND- ICPC","A ṣe aṣìse fífi èsùn jìbìtì kan NELFUND- ICPC","A se asìṣe fífi ẹ̀sun jibiti kan NELFUND- ICPC","A se asiṣe fifi èsun jibìti kan NELFUND- ICPC","non-sarcastic","BBC News","original"
"117","E-Money kìlọ̀ lẹ́yìn tó bọ́ lọ́wọ́ EFCC - Ẹ yé tàbùkù owó náírà mọ́!","E-Money kilo leyin to bo lowo EFCC - E ye tabuku owo naira mo!","E-Money kìlọ̀ lẹyìn tó bọ lọwọ́ EFCC - Ẹ yé tàbùku owó náírà mọ́!","E-Money kìlo léyìn tó bọ lọwọ́ EFCC - Ẹ ye tabukù owo naírà mo!","E-Money kilò lẹ́yin to bó lowo EFCC - E ye tàbùkù owo naira mo!","non-sarcastic","BBC News","original"
"118","NIMC ṣe àfikún iye owó ìforúkọsílẹ̀ àti àtúnṣe NIN","NIMC se afikun iye owo iforukosile ati atunse NIN","NIMC ṣe àfikún iye owó iforukosilẹ̀ àti atúnṣe NIN","NIMC ṣe àfikun iye owo ìforúkọsilè àti àtúnse NIN","NIMC se afikun iye owo ìforúkosile ati àtunse NIN","non-sarcastic","BBC News","original"
"119","Àwọn òṣìṣẹ́ bínú sí ìjọba Naijiria láyàájọ́ ọjọ́ òṣìṣẹ́","Awon osise binu si ijoba Naijiria layaajo ojo osise","Àwọn oṣìṣẹ́ bínú sí ìjọba Naijiria layàájọ ọjó òṣìṣẹ́","Awọn òṣiṣé binú si ijọba Naijiria láyàájọ ojó osiṣẹ","Awon oṣiṣé bínu sí ijoba Naijiria láyaajọ ojo osìse","non-sarcastic","BBC News","original"
"120","Kúdẹ́fù, ẹrú tó di ẹmẹ̀wà Aláàfin tí kò sì gbọ́dọ̀ fi ààfin Ọ̀yọ́ sílẹ̀","Kudefu, eru to di emewa Alaafin ti ko si gbodo fi aafin Oyo sile","Kúdẹ́fù, ẹrú tó di ẹmewà Aláàfin ti kò sì gbọ́dọ fi ààfin Ọ̀yo sílẹ","Kúdéfù, ẹru tó di ẹmẹ̀wa Aláàfin tí ko sì gbódọ fi aafin Òyọ sílẹ","Kudéfu, erú to di ẹmewa Alaafin tí ko si gbodọ fi aafin Ọ̀yo sile","non-sarcastic","BBC News","original"
"121","Wo bí o ṣe lè mọ iléeṣẹ́ tó fi orúkọ sílẹ̀ pẹ̀lu CAC","Wo bi o se le mo ileese to fi oruko sile pelu CAC","Wo bi o ṣe lè mọ iléesẹ́ tó fi orúko sílẹ̀ pèlu CAC","Wo bí o ṣe lè mo ileeṣe tó fi oruko silẹ pẹlu CAC","Wo bi o se lè mo ileesẹ to fi orúko silè pelu CAC","non-sarcastic","BBC News","original"
"122","Owu Waterfalls, ibùdó afẹ́ 'tó léwu ní lílọ̀ láì mú ẹ̀ṣọ́ aláàbò dáni'","Owu Waterfalls, ibudo afe 'to lewu ni lilo lai mu eso alaabo dani'","Owu Waterfalls, ibùdó afẹ́ 'tó lewu ní lílọ̀ láì mú ẹ̀só alaabò dáni'","Owu Waterfalls, ibudó afẹ́ 'to léwu ní lilọ̀ lái mu ẹ̀ṣó aláabo dani'","Owu Waterfalls, ibudo afẹ 'to lewu ni lilọ̀ lai mu eṣọ alaabò dani'","non-sarcastic","BBC News","original"
"123","Ta làwọn ọmọ ilẹ̀ Africa mẹ́ta tó ti jẹ Póòpù ìjọ Àgùdà, kí lò dé tí aláwọ̀ dúdú kankan kò dépo náà mọ́ lẹ́yìn wọn?","Ta lawon omo ile Africa meta to ti je Poopu ijo Aguda, ki lo de ti alawo dudu kankan ko depo naa mo leyin won?","Ta làwọn ọmo ilẹ̀ Africa mẹ́ta tó ti jẹ Póòpù ìjọ Agudà, kí lò dé tí aláwò dudú kankan kò depo náà mó lẹyìn wọn?","Ta làwọn omo ilẹ Africa méta to ti je Poòpu ijo Agudà, ki lo de ti aláwo dudu kankan ko dépo naa mọ leyin wọn?","Ta lawon omo ilè Africa meta to ti je Poopu ìjo Agùdà, ki lò dé ti alawo dudu kankan kò depo naa mọ leyin wọn?","non-sarcastic","BBC News","original"
"124","Bí àwọn èèyàn bá rí mi, ọmọ gómìnà Adeleke ni wọ́n ń pè mí nítorí pé a jọra gidigidi'","Bi awon eeyan ba ri mi, omo gomina Adeleke ni won n pe mi nitori pe a jora gidigidi'","Bi awọn eèyàn bá ri mi, ọmo gómìnà Adeleke ni wọn ń pè mí nitori pe a jọra gidigidi'","Bí awọn eeyan ba rí mi, omo gomìnà Adeleke ni won n pe mi nitori pe a jora gidigidi'","Bi awon èeyan bá ri mi, omo gominà Adeleke ni won n pè mi nitori pe a jora gidigidi'","non-sarcastic","BBC News","original"
"125","Ọjọ́ mẹ́rin ni ọkọ mi fi sá kúrò nílé lẹ́yìn tó gbọ́ pé ìbẹta ni mo bí'","Ojo merin ni oko mi fi sa kuro nile leyin to gbo pe ibeta ni mo bi'","Ọjó mérin ni ọkọ mi fi sa kúrò nilé lẹ́yìn to gbọ pe ìbẹta ni mo bí'","Ọjọ́ mẹrin ni ọkọ mi fi sa kurò níle lẹ́yin to gbọ́ pé ìbeta ni mo bí'","Ọjọ mẹrin ni ọko mi fi sa kuro nile lẹ́yin to gbo pe ibeta ni mo bi'","non-sarcastic","BBC News","original"
"126","Gbèsè ni mo fi tọ́ àwọn ìbejì tó gba First Class, tayọ jù lọ ní UI'","Gbese ni mo fi to awon ibeji to gba First Class, tayo ju lo ni UI'","Gbese ni mo fi to àwọn ìbejì tó gba First Class, tayo jù lọ ni UI'","Gbesè ni mo fi to àwọn ìbeji tó gba First Class, tayo ju lọ ní UI'","Gbesè ni mo fi tó awọn ìbejì to gba First Class, tayo ju lo ní UI'","non-sarcastic","BBC News","original"
"127","Ebi kọ́ ló mú kí àwọn ọmọ mi máa bá mi ṣiṣẹ́ fọga, kí ọjọ́ ọ̀la wọn le dára ni'","Ebi ko lo mu ki awon omo mi maa ba mi sise foga, ki ojo ola won le dara ni'","Ebi kọ́ ló mu kí àwọn ọmo mi maa bá mi ṣiṣe foga, kí ojọ́ ọla won le dara ni'","Ebi kó lo mu ki àwọn omọ mi máa bá mi ṣisé fọga, kí ojo òla won le dára ni'","Ebi kọ lo mu ki awon omo mi maa ba mi sise foga, kí ojo ọla wọn le dara ni'","non-sarcastic","BBC News","original"
"128","Mò n fi èdè Ìjẹ̀bú kọ́ àwọn akẹ́kọ̀ọ́ mi ní ìṣirò nítorí mo fẹ́ kó yé wọn dáàdáà'","Mo n fi ede Ijebu ko awon akekoo mi ni isiro nitori mo fe ko ye won daadaa'","Mò n fi edè Ijẹ̀bú kọ awon akékọ̀ó mi ní ìṣiro nítorí mo fẹ kó yé wọn dáadáà'","Mò n fi èdè Ijèbu kọ awọn akẹkòọ mi ni ìsiro nitori mo fẹ kó ye wọn dáadaa'","Mo n fi edè Ijebu ko awon akékoọ́ mi ni iṣirò nítori mo fé kó yé won dáadaà'","non-sarcastic","BBC News","original"
"129","Lẹ́yìn ọdún mẹta, erò ọkọ̀ ojú irin pàdé ẹni to jì i gbe ní mọ́ṣáláṣí","Leyin odun meta, ero oko oju irin pade eni to ji i gbe ni mosalasi","Lẹ́yin ọdún mẹta, erò okọ̀ oju irin pàde eni to jì i gbe ní moṣáláṣí","Léyìn odun mẹta, ero ọkọ ojú irin pàdé ẹni to jì i gbe ní mọ́saláṣí","Leyin odun meta, ero ọkọ oju irin padé eni to jì i gbe ni mosalási","non-sarcastic","BBC News","original"
"130","Ṣé lóòótọ́ ni CBEX ti bẹ̀rẹ̀ iṣẹ́ padà ní Naijiria?","Se loooto ni CBEX ti bere ise pada ni Naijiria?","Ṣe lóòótọ́ ni CBEX ti bèrẹ̀ iṣẹ padà ní Naijiria?","Se loootọ́ ni CBEX ti bẹ̀re iṣé pada ní Naijiria?","Se lóootó ni CBEX ti berẹ̀ isẹ padà ni Naijiria?","non-sarcastic","BBC News","original"
"131","Ọ̀rọ̀ Soun Ogbomoso àtí Ìmáàmù Àgbà tún ṣẹ́yọ, Iléẹjọ́ so Ìmáàmù lọ́wọ́kọ́ lórí ìfinjoyè, Soun ní ìkọjá-àyè ni","Oro Soun Ogbomoso ati Imaamu Agba tun seyo, Ileejo so Imaamu lowoko lori ifinjoye, Soun ni ikoja-aye ni","Ọ̀rọ̀ Soun Ogbomoso àtí Ìmáàmù Àgbà tun ṣeyọ, Iléẹjó so Ìmáàmu lówọkọ́ lori ìfinjoyè, Soun ní ìkọjá-aye ni","Ọrọ Soun Ogbomoso àtí Imaàmù Agbà tún sẹ́yọ, Iléẹjó so Imáamu lowoko lórí ifinjoye, Soun ní ìkọjá-aye ni","Òro Soun Ogbomoso ati Imaamu Agba tun sẹyo, Ileejọ́ so Imaamu lowokọ lori ìfinjoye, Soun ní ikọja-aye ni","non-sarcastic","BBC News","original"
"132","Wọ́n rí òkú ọlọ́pàá mẹta tó di àwátì nínú odò lẹ́yìn ọjọ́ mẹ́fà","Won ri oku olopaa meta to di awati ninu odo leyin ojo mefa","Wọ́n ri òkú ọlọpàá meta tó di àwátì nínú odò lẹyìn ojọ mẹ́fà","Won rí oku ọlopàa mẹta to di awatì nínú odo lẹyìn ọjọ́ mẹfa","Won ri òku olopaa meta tó di awati ninú odò lẹ́yin ojo méfà","non-sarcastic","BBC News","original"
"133","Wo bí ayẹyẹ ìgbadé Owa Obokun tuntun, Adesuyi Haastrup, yóò ṣe wáyé n'Ilesa","Wo bi ayeye igbade Owa Obokun tuntun, Adesuyi Haastrup, yoo se waye n'Ilesa","Wo bi ayẹyẹ igbadé Owa Obokun tuntun, Adesuyi Haastrup, yóo ṣe wáye n'Ilesa","Wo bi ayeyẹ ìgbade Owa Obokun tuntun, Adesuyi Haastrup, yóò ṣe waye n'Ilesa","Wo bi ayeyẹ igbadé Owa Obokun tuntun, Adesuyi Haastrup, yóo se wáye n'Ilesa","non-sarcastic","BBC News","original"
"134","Nńkan ò ṣe mi o, mo wà láàyè -King Sunny Ade","Nnkan o se mi o, mo wa laaye -King Sunny Ade","Nnkan o ṣe mi o, mo wà láàyè -King Sunny Ade","Nńkan ò se mi o, mo wà laàyè -King Sunny Ade","Nńkan o se mi o, mo wa láayè -King Sunny Ade","non-sarcastic","BBC News","original"
"135","Wọn ti ko ọmọ Naijiria 203 tó há sí Libya padà wálé","Won ti ko omo Naijiria 203 to ha si Libya pada wale","Wọn ti ko ọmo Naijiria 203 tó há sí Libya padà wálé","Won ti ko ọmọ Naijiria 203 to ha si Libya padà wále","Won ti ko ọmo Naijiria 203 to ha si Libya pada wale","non-sarcastic","BBC News","original"
"136","Ìfẹ́ tí mo ní sí ọ̀bọ ló jẹ́ kí n bẹ̀rẹ̀ eré ìdárayá lílo ọwọ́ àti ẹsẹ̀ fi sáré'","Ife ti mo ni si obo lo je ki n bere ere idaraya lilo owo ati ese fi sare'","Ifẹ́ tí mo ni sí ọ̀bọ ló jẹ́ kí n bẹrẹ̀ ere ìdáraya lílo ọwọ́ àti esè fi saré'","Ifé tí mo ni si òbọ lo jẹ́ ki n bẹ̀rè eré idaraya lílo owọ ati esè fi sáre'","Ifẹ ti mo ni si obo lo je kí n berè ere ìdáraya lílo owó ati ese fi sare'","non-sarcastic","BBC News","original"
"137","Ọ́wọ ọlọ́wọ́ níí gbé òkú dé itẹ́","Owo olowo nii gbe oku de ite","Owo ọlọ́wọ́ níí gbe okú dé itẹ","Ọwọ olowo níí gbé okú dé ite","Ówọ olọwọ nii gbé okú de ite","non-sarcastic","BBC News","original"
"138","Mohbad gba àmì ẹ̀yẹ Headies, wo bí àmì ẹ̀yẹ náà ṣe lọ lọ́dún yìí","Mohbad gba ami eye Headies, wo bi ami eye naa se lo lodun yii","Mohbad gba àmì ẹ̀yẹ Headies, wo bí àmì ẹ̀yẹ náà se lọ lodún yìí","Mohbad gba àmi ẹyẹ Headies, wo bi àmi ẹ̀ye naà se lo lodun yìi","Mohbad gba ami ẹyẹ Headies, wo bí àmì èye náa se lo lọdun yii","non-sarcastic","BBC News","original"
"139","Àwọn ohun tó yẹ kí o mọ̀ nípa Robert Prevost Leo XIV, Póòpù tuntun fún ìjọ Kátólíìkì","Awon ohun to ye ki o mo nipa Robert Prevost Leo XIV, Poopu tuntun fun ijo Katoliiki","Awọn ohun tó yẹ kí o mọ̀ nipa Robert Prevost Leo XIV, Póòpù tuntun fún ìjọ Katólíikì","Àwọn ohun tó ye ki o mọ nipa Robert Prevost Leo XIV, Poòpu tuntun fun ijọ Kátólíiki","Awon ohun tó ye ki o mọ̀ nipa Robert Prevost Leo XIV, Póopu tuntun fun ijọ Katolíiki","non-sarcastic","BBC News","original"
"140","Ọ̀ná là ní ẹnu ibodè Seme àti Badagry bí Tinubu ṣe fagilé ìgbégidínà lójú ọ̀nà Nàíjíríà sí ilẹ̀ Benin","Ona la ni enu ibode Seme ati Badagry bi Tinubu se fagile igbegidina loju ona Naijiria si ile Benin","Ọna là ní ẹnu ibodè Seme ati Badagry bí Tinubu se fagilé ìgbegidína lójú ọ̀nà Nàíjíríà sí ilẹ Benin","Ona la ni enu ibodè Seme àti Badagry bi Tinubu se fagilé ìgbegidinà loju ọ̀na Nàíjirià si ile Benin","Òna la ni enu ibode Seme ati Badagry bi Tinubu se fagilé igbégidina loju ọnà Nàijiria si ile Benin","non-sarcastic","BBC News","original"
"141","Ariwo sọ bí ọ̀dọ́bìnrin kan ṣe parọ́ pé wọ́n jí òun gbé lásìkò tó wà pẹ̀lú ọ̀rẹ́kùnrin rẹ̀, ọlọ́pàà sọ̀rọ̀","Ariwo so bi odobinrin kan se paro pe won ji oun gbe lasiko to wa pelu orekunrin re, olopaa soro","Ariwo sọ bí ọ̀dọbìnrin kan ṣe parọ́ pé wọ́n ji òun gbé lasìkò tó wa pẹlú ọ̀rẹkùnrin rẹ̀, ọlọ́pàà sọ̀rọ̀","Ariwo so bi ọdóbinrin kan ṣe paro pé wọn jí oun gbé lasikò tó wà pelú orékunrin re, ọlopaa sọ̀rọ","Ariwo so bi ọdobinrin kan se paró pe wón ji oun gbe lasiko to wa pelu orekunrin re, ọlopaa sọro","non-sarcastic","BBC News","original"
"142","""Kí àlááfíà wà pẹ̀lú yín"" Pope tuntun,  Leo XIV bá àgbáyé sọ̀rọ̀ fún ìgbà àkọ́kọ́","""Ki alaafia wa pelu yin"" Pope tuntun,  Leo XIV ba agbaye soro fun igba akoko","""Kí àlaáfíà wà pẹ̀lu yín"" Pope tuntun,  Leo XIV ba àgbáyé sọ̀rọ fún ìgbà akókọ́","""Ki alaafià wà pẹlu yin"" Pope tuntun,  Leo XIV bá agbayé sọrò fun igbà akóko","""Ki aláafia wa pẹ̀lú yin"" Pope tuntun,  Leo XIV bá agbáye sorò fun igba akokó","non-sarcastic","BBC News","original"
"143","Kí ni ìdí tí India àti Pakistan fi ń jà sí agbègbè Kashmir?","Ki ni idi ti India ati Pakistan fi n ja si agbegbe Kashmir?","Kí ni ìdí tí India ati Pakistan fi ń jà si agbègbè Kashmir?","Ki ni idí tí India àti Pakistan fi n jà sí agbegbè Kashmir?","Ki ni ìdi tí India ati Pakistan fi n ja si agbegbe Kashmir?","non-sarcastic","BBC News","original"
"144","Joe Biden korò ojú pé Donald Trump ń sọ̀rọ̀ ṣàkàṣàkà, kò sọ̀rọ̀ bíi Ààrẹ Amẹ́ríkà","Joe Biden koro oju pe Donald Trump n soro sakasaka, ko soro bii Aare Amerika","Joe Biden korò ojú pé Donald Trump ń sọ̀rọ̀ ṣàkàṣàkà, kò sọ̀rọ bíi Ààrẹ Amẹríka","Joe Biden koro oju pé Donald Trump n sọ̀rọ̀ sàkaṣàka, ko sọrọ bíi Ààrẹ Amérikà","Joe Biden koro oju pe Donald Trump n sorò ṣakasaka, kò sọro bii Aarẹ Ameríka","non-sarcastic","BBC News","original"
"145","""Lẹ́yìn tí Ajínigbé gba N14m owó ìtúsílẹ̀, àpò ìrẹsì, adìẹ méjìlá tí wọn dín gbẹ, ohun mímu 24, káàdì ìpè N10,000, wọ́n tún ń bèèrè N70m míì""","""Leyin ti Ajinigbe gba N14m owo itusile, apo iresi, adie mejila ti won din gbe, ohun mimu 24, kaadi ipe N10,000, won tun n beere N70m mii""","""Lẹ́yìn tí Ajinigbe gba N14m owó ìtusilẹ̀, apo ìrẹsi, adìẹ méjìla tí wọn din gbẹ, ohun mímu 24, káàdì ipè N10,000, wón tún ń beèrè N70m míì""","""Léyìn tí Ajínigbé gba N14m owo itúsílẹ̀, apò ìrẹsì, adiẹ méjila ti wọn dín gbe, ohun mimu 24, káàdi ipè N10,000, wọ́n tún ń bèère N70m míì""","""Leyin ti Ajínigbé gba N14m owo itusile, apo ìrẹsi, adìe mejìla ti won din gbe, ohun mimu 24, kaadi ipe N10,000, won tun n beerè N70m mii""","non-sarcastic","BBC News","original"
"146","Ètò yíyan Póòpù tuntun ń tẹ̀síwájú bí èéfí dúdú ṣe jáde láti Sistine Chapel","Eto yiyan Poopu tuntun n tesiwaju bi eefi dudu se jade lati Sistine Chapel","Ètò yíyan Póòpù tuntun ń tẹsíwájú bí eefí dudú se jáde láti Sistine Chapel","Etò yíyan Póopu tuntun n tesiwáju bi èefí dudu se jade lati Sistine Chapel","Eto yiyan Poopu tuntun ń tẹ̀síwajú bi èefi dudu se jade lati Sistine Chapel","non-sarcastic","BBC News","original"
"147","Àlàyé rèé lórí ìdí tí aáwọ̀ ẹgbẹ́ òṣèlú Labour ṣe ń le koko sí, bí igun Abure àti Usman se dojú ogun kọ ara wọn","Alaye ree lori idi ti aawo egbe oselu Labour se n le koko si, bi igun Abure ati Usman se doju ogun ko ara won","Àlàyé rèé lórí ìdi tí aáwọ egbẹ́ osèlú Labour ṣe ń le koko sí, bí igun Abure àti Usman se dojú ogun kọ ara won","Àlaye ree lori ìdi tí aawò egbẹ osèlu Labour ṣe n le koko sí, bi igun Abure àti Usman se doju ogun ko ara won","Alàye ree lori idi ti aáwo egbe oselu Labour se ń le koko si, bi igun Abure àti Usman se doju ogun ko ara wọn","non-sarcastic","BBC News","original"
"148","Fídíò rèé nípa bí wọn ṣe máa ń yan Póòpù tuntun","Fidio ree nipa bi won se maa n yan Poopu tuntun","Fídíò rèé nípa bi won ṣe máa n yan Póòpù tuntun","Fídíò ree nípa bi wọn se máa n yan Poòpu tuntun","Fidio ree nípa bi won se maa n yan Poòpu tuntun","non-sarcastic","BBC News","original"
"149","Ìdí rèé tí Bàálù Herbert Wigwe fi já ní Amẹ́ríkà èyí tó rán òun, aya àti ọmọ rẹ̀ sọ́run lójijì","Idi ree ti Baalu Herbert Wigwe fi ja ni Amerika eyi to ran oun, aya ati omo re sorun lojiji","Idi rèé tí Bàalu Herbert Wigwe fi já ní Amẹ́ríkà èyí tó rán òun, aya àti omọ rẹ̀ sọrun lójijì","Idi reé tí Bàálù Herbert Wigwe fi já ni Ameríkà èyi to ran òun, aya àti omọ rẹ̀ sorun lójijì","Idí rèe ti Bàalu Herbert Wigwe fi ja ni Ameríka eyi to rán òun, aya àti omọ re sorun lojiji","non-sarcastic","YouTube","original"
"150","Ṣé lóòótọ́ ni Nnamdi Kanu pàṣẹ kí wọn máà pa àwọn ọlọ́pàá, tún lérí láti kọlu ìpínlẹ̀ Eko?","Se loooto ni Nnamdi Kanu pase ki won maa pa awon olopaa, tun leri lati kolu ipinle Eko?","Ṣé loòótọ́ ni Nnamdi Kanu pàṣẹ kí wọn maa pa àwọn ọlópàá, tun léri láti kọlu ìpínlẹ̀ Eko?","Ṣé lóootọ́ ni Nnamdi Kanu paṣẹ kí wọn maà pa awon ọlọ́pàá, tun lerí láti kolu ipinlẹ̀ Eko?","Se looóto ni Nnamdi Kanu pase ki wọn maa pa àwon ọlọpàa, tún leri lati kolu ipínle Eko?","non-sarcastic","BBC News","original"
"151","Àlàyé rèé lórí ìdí tí Póòpù fi máa ń wọ bàtà pupa àti ìdáhùn àwọn ìbéèrè míràn tó rú ọ lójú","Alaye ree lori idi ti Poopu fi maa n wo bata pupa ati idahun awon ibeere miran to ru o loju","Alàyé rèe lórí ìdí ti Poòpu fi maa ń wọ bàtà pupa àti ìdáhun àwon ìbéèrè míràn to ru ọ lójú","Àlayé ree lori ìdí tí Poòpu fi maa n wo bàtà pupa àti idáhun awon ibeère míran tó ru o lóju","Alayé ree lori idí ti Poòpù fi maa n wo bata pupa ati idáhun àwọn ibeerè miran tó ru o loju","non-sarcastic","BBC News","original"
"152","Ìdí rèé tí mo ṣe lọ sọ́dọ̀ àjọ EFCC - Iyabo Ojo","Idi ree ti mo se lo sodo ajo EFCC - Iyabo Ojo","Ìdi rèe tí mo se lọ sọdọ̀ ajo EFCC - Iyabo Ojo","Ìdí ree tí mo ṣe lo sọ́dò ajo EFCC - Iyabo Ojo","Idi ree ti mo se lo sodọ ajọ EFCC - Iyabo Ojo","non-sarcastic","BBC News","original"
"153","Kí ló ń jẹ́ ""Shadow Government"", tí Pat Utomi gbé kalẹ̀ láti tako ìjọba Tinubu?","Ki lo n je ""Shadow Government"", ti Pat Utomi gbe kale lati tako ijoba Tinubu?","Kí lo n jẹ́ ""Shadow Government"", tí Pat Utomi gbé kale láti tako ìjoba Tinubu?","Ki ló ń jé ""Shadow Government"", tí Pat Utomi gbe kalè lati tako ijoba Tinubu?","Ki lo n je ""Shadow Government"", tí Pat Utomi gbe kale lati tako ijoba Tinubu?","non-sarcastic","BBC News","original"
"154","Bí ìgbẹ́jọ́ Alfa Abdulrahman tí wọn fẹ̀sùn ìfipábánilòpọ̀ àti ikú Afsot Yetunde kàn ní Ilorin ṣe lọ lónìí rèé, bí bàbá olóògbé ṣe bú sẹ́kún","Bi igbejo Alfa Abdulrahman ti won fesun ifipabanilopo ati iku Afsot Yetunde kan ni Ilorin se lo lonii ree, bi baba oloogbe se bu sekun","Bí igbẹ́jọ́ Alfa Abdulrahman tí wọn fẹ̀sùn ìfipábanilopọ̀ àti iku Afsot Yetunde kàn ni Ilorin ṣe lọ lonìi rèé, bí bàbá olóògbé ṣe bú sẹ́kún","Bí igbẹjọ́ Alfa Abdulrahman tí won fèsùn ìfipábanilòpọ ati iku Afsot Yetunde kan ní Ilorin se lo lónìi ree, bi babá oloògbé se bú sẹ́kun","Bi igbejo Alfa Abdulrahman ti won fesun ìfipabánilopọ ati ikú Afsot Yetunde kàn ni Ilorin se lo lónìi rèe, bi bàba olóogbe se bu sekun","non-sarcastic","BBC News","original"
"155","Boko Haram ti gboró, bàálù Drone ló ń lò láti kọlu aráàlú ní Borno - Aṣojú-ṣòfin","Boko Haram ti gboro, baalu Drone lo n lo lati kolu araalu ni Borno - Asoju-sofin","Boko Haram ti gboró, bàálù Drone ló ń lò láti kọlu aráàlú ní Borno - Aṣojú-ṣòfin","Boko Haram ti gboró, bàalu Drone lo n lo láti kọlu araàlú ní Borno - Asoju-ṣofin","Boko Haram ti gboro, baalu Drone lo n lo láti kolu araalu ni Borno - Asoju-sòfin","non-sarcastic","BBC News","original"
"156","UK gbé ìlànà tuntun kalẹ̀ lórí 'Visa' gbígbà ní Nàìjíríà àti orílẹ̀èdè méjì míì","UK gbe ilana tuntun kale lori 'Visa' gbigba ni Naijiria ati orileede meji mii","UK gbé ìlànà tuntun kalẹ̀ lórí 'Visa' gbígbà ni Naìjiríà ati orílẹède mejì míi","UK gbé ilànà tuntun kalè lórí 'Visa' gbígbà ní Naìjírià àti oríleede méji míì","UK gbe ilana tuntun kale lori 'Visa' gbigba ni Naijíríà ati orileedè mejì miì","non-sarcastic","BBC News","original"
"157","Àlàyé rèé lórí ìdí tí ọ̀pọ̀ akẹ́kọ̀ọ́ ṣe fìdí rẹmi nínú ìdánwò UTME, bí JAMB ṣe kéde èsì ìdánwò náà","Alaye ree lori idi ti opo akekoo se fidi remi ninu idanwo UTME, bi JAMB se kede esi idanwo naa","Alayé ree lóri idí ti ọ̀pọ̀ akẹ́kọ̀ọ́ se fìdí rẹmi ninú ìdánwò UTME, bi JAMB ṣe kéde èsì idánwò náa","Alàye reé lori ìdi tí ọ̀po akékòo se fidí remi nínu idánwo UTME, bi JAMB se kéde esì ìdánwò náa","Àlàye ree lórí ìdí ti ọ̀po akẹ́kòọ se fidi rẹmi ninu idanwo UTME, bi JAMB se kéde esi idanwo naà","non-sarcastic","BBC News","original"
"158","Wo ìgbeyàwó ọ̀pọ̀ èèyàn tó wáyé ní ṣọ́ọ̀ṣì kan níbi tí ọkùnrin ti ń fẹ́ ju ìyàwó kan lọ","Wo igbeyawo opo eeyan to waye ni soosi kan nibi ti okunrin ti n fe ju iyawo kan lo","Wo ìgbeyàwó ọpò eèyàn tó wáyé ní sọ́ọṣì kan níbi tí ọkùnrin ti ń fẹ́ ju iyawo kan lọ","Wo igbeyàwo opọ èeyan tó wáye ni ṣóọsì kan nibi ti okùnrin ti n fẹ ju iyàwó kan lọ","Wo igbeyawo opò èeyan to waye ní sóosi kan nibi ti okùnrin ti n fe ju iyàwo kan lo","non-sarcastic","BBC News","original"
"159","Kà nípa àìsàn tó lè pa ọmọ ìkókó","Ka nipa aisan to le pa omo ikoko","Kà nipa àìsàn tó le pa ọmo ikokó","Kà nipa aìsàn to lè pa ọmọ ìkoko","Ka nipa àisàn to lè pa omọ ikoko","non-sarcastic","BBC News","original"
"160","185,000 ọmọ ogun Russia ló ti bá ogun lọ ní Ukraine","185,000 omo ogun Russia lo ti ba ogun lo ni Ukraine","185,000 ọmọ ogun Russia ló ti bá ogun lọ ní Ukraine","185,000 omo ogun Russia lo ti ba ogun lọ ní Ukraine","185,000 omọ ogun Russia lo ti ba ogun lọ ni Ukraine","non-sarcastic","BBC News","original"
"161","Nínú ọba 82, ìjọba kéde ojúlówó ọba 16 péré ní ilẹ̀ Benin, ariwo sọ","Ninu oba 82, ijoba kede ojulowo oba 16 pere ni ile Benin, ariwo so","Nínú ọba 82, ìjọba kéde ojúlówó oba 16 pére ní ilẹ̀ Benin, ariwo sọ","Ninu oba 82, ijoba kéde ojúlówó oba 16 peré ni ile Benin, ariwo so","Ninu oba 82, ijoba kede ojulówó oba 16 pere ni ilẹ Benin, ariwo so","non-sarcastic","BBC News","original"
"162","""Orin Kèǹgbè jẹ́ orin àwa Fúlàní, àwọn Yorùbá kò mọ iyì rẹ̀""","""Orin Kengbe je orin awa Fulani, awon Yoruba ko mo iyi re""","""Orin Kèǹgbe jẹ orin àwa Fúlàni, àwọn Yorùba kò mo iyì rẹ""","""Orin Keǹgbè je orin àwa Fúlani, àwon Yorùba ko mo iyì rẹ̀""","""Orin Kengbe jẹ orin awa Fúlaní, awon Yoruba ko mo iyì re""","non-sarcastic","BBC News","original"
